,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
71,Pregunta INE a Presidencia: ¿le paga a reporteros que cubren mañaneras? https://t.co/lcynEBYxYt https://t.co/uCusUeILZy,AristeguiOnline,Hootsuite Inc.,185,757
72,"Más de 25 millones se van a Telegram tras nuevas políticas de Whatsapp
https://t.co/Z8Wqca7bNF https://t.co/ZSgJIqLXvu",AristeguiOnline,Hootsuite Inc.,184,766
73,"Si no nos ayudas, no vamos a resistir: Personal médico | #Video
https://t.co/abnlU8AOgp https://t.co/thKat4CLv3",AristeguiOnline,Hootsuite Inc.,184,489
74,"Dos gorilas dan positivo por coronavirus en el zoológico de San Diego
https://t.co/KIl9pioFqm https://t.co/SS93rA6pgD",AristeguiOnline,Hootsuite Inc.,183,635
75,Reino Unido rompe el récord de nuevos contagios de Covid- 19 con casi 58 mil casos en un solo día https://t.co/0v05J5uBbM https://t.co/8JXuUZUly0,AristeguiOnline,Hootsuite Inc.,183,693
76,"Obtiene el mexicano Enrique Casarrubias una estrella Michelin en Francia
https://t.co/jVVHeGQlo8 https://t.co/IxwZZRSUMV",AristeguiOnline,Hootsuite Inc.,181,1405
77,Detectan en Tamaulipas caso de nueva variante de coronavirus de Reino Unido https://t.co/RbxEsW6zc2 https://t.co/Z1RvdQGVuo,AristeguiOnline,Hootsuite Inc.,180,438
78,"#ExpedienteHarfuch | En octubre de 2020, la periodista Anabel Hernández accedió a documentos oficiales sobre el actual jefe de la policía en la capital, los cuales demostraban que reprobó los exámenes de confianza 👉 https://t.co/nFj1gIbTIM https://t.co/BXtbQ4WEHN",AristeguiOnline,Hootsuite Inc.,177,425
79,Regresa el Bisonte americano a territorio nacional: manada de Coahuila tiene 230 ejemplares https://t.co/dn32UlvrSZ https://t.co/KtjyTquWUo,AristeguiOnline,Hootsuite Inc.,175,1496
80,"#LoMejordeAristeguienVivo | Hay fotos de violación de Félix Salgado a mujer: ex fiscal | Con Salgado, Acapulco se volvió madriguera de narcos: Anabel | #Video
https://t.co/3UtqyMX7pN https://t.co/TdiM0Dvgnt",AristeguiOnline,Hootsuite Inc.,175,367
81,Enfermero de California se contagia de Covid-19 a una semana de recibir vacuna de Pfizer https://t.co/ujLvUDuWFD https://t.co/DvCQNV8ksZ,AristeguiOnline,Hootsuite Inc.,174,479
82,"Es reprobable cualquier forma de censura, pero también es momento de preguntarnos si es pertinente que la política y el debate público sigan dependiendo de plataformas que no son patrimonio público, sino empresas privadas | Por @chamanesco 👉🏼 https://t.co/crOYBiRa4W https://t.co/NPaNdOFb50",AristeguiOnline,Hootsuite Inc.,173,718
83,"#AristeguiEnVivo | Esta mañana, el doctor Alejandro Gertz Manero, titular de @FGRMexico, conversará con Carmen Aristegui sobre la decisión de no ejercer acción penal contra el general Salvador Cienfuegos Zepeda.

Aquí puedes escucharlo: https://t.co/Yr4FpDQ4AE https://t.co/kyQcxpwBq4",AristeguiOnline,Twitter for iPhone,169,486
84,"La senadora del PAN, Lilly Téllez, criticó el acuerdo para traer la vacuna rusa a México, pues aseguró que esta apenas está siendo analizada por la OMS https://t.co/AN5ftWqctB https://t.co/8nluzYY2iW",AristeguiOnline,Hootsuite Inc.,169,723
