,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
134,"Estoy cambiando muy poquito a poco, pero estoy cambiando.",SoloReflexiones,TweetDeck,1683,3407
135,"Quédate con quien, cuando haya problemas, se siente contigo y te diga: ""Vamos a arreglar esto"", en lugar de portarse como unos niños e ignorarse.",SoloReflexiones,TweetDeck,1680,4272
136,"""No te tomes la vida tan en serio. Corre, baila, grita, disfruta. Al final nadie saldrá vivo de ella."" Bob Marley",SoloReflexiones,TweetDeck,1680,668
137,"""Te das cuenta que has madurado, cuando no quieres tener problemas con nadie, cuando no te importa lo que digan de ti, cuando lo único que quieres es ser feliz y que no te estén chingando la vida.""",SoloReflexiones,Twitter for Android,1678,3007
138,"“Lo que tenga que volver, volverá.”",SoloReflexiones,Hootsuite,1675,1034
139,"La vida es tan buena maestra que si no aprendes la lección, te la repite.",SoloReflexiones,TweetDeck,1675,944
140,"Hoy te extrañé, me hiciste falta. No quiero decírtelo pero aquí te lo escribo por si el destino quiere que lo leas.",SoloReflexiones,TweetDeck,1673,4342
141,“Y lloré sin saber que la vida me estaba haciendo un favor.”,SoloReflexiones,Hootsuite,1668,1291
142,Con el tiempo te das cuenta que no estás obligado/a a aguantarlo todo. Que la paciencia tiene limites y que la vida está hecha para ser disfrutada y no soportada.,SoloReflexiones,Twitter for iPhone,1668,3081
143,"Sólo quiero tres cosas: verte, abrazarte y besarte.",SoloReflexiones,TweetDeck,1663,753
144,"Tu actitud, justifica la mía.",SoloReflexiones,Twitter for Android,1662,1043
145,"""Momentos que duran segundos pero puedes estar horas y horas pensando en ellos.""",SoloReflexiones,TweetDeck,1660,696
146,"Lo que toca el alma, no se olvida.",SoloReflexiones,TweetDeck,1658,3807
147,"""El peor error de un hombre es pensar que una mujer enamorada siempre lo estará, sin importar lo que él haga.""",SoloReflexiones,TweetDeck,1658,990
148,"""No creas en quien dice quererte, sino en quien lucha por tenerte.""",SoloReflexiones,TweetDeck,1656,713
149,"Coincidir es un lujo, pero conectar es algo superior.",SoloReflexiones,TweetDeck,1655,4234
150,"""A veces es mejor respirar profundo y quedarse callado.""",SoloReflexiones,TweetDeck,1655,658
151,"""Ir caminando por la calle y sonreír por un recuerdo.""",SoloReflexiones,TweetDeck,1643,811
152,Y me despedí sabiendo que no quería irme.,SoloReflexiones,Twitter for Android,1638,1318
153,"Si me ignoras, te voy a ignorar. Si no empiezas la conversación, no vamos a hablar. Si no haces un esfuerzo, ¿por qué debería yo hacerlo?",SoloReflexiones,TweetDeck,1635,1548
154,"Me dolió, pero aprendí algo nuevo: a no confiar demasiado, a no dar tanto cariño y a ser consciente de que siempre habrá una mentira.",SoloReflexiones,Hootsuite,1633,1205
155,Enamórate de alguien que vuelva a ti después de las peleas y no de alguien que el orgullo domine.,SoloReflexiones,TweetDeck,1630,819
156,A veces... https://t.co/rrBbceer60,SoloReflexiones,TweetDeck,1629,3364
157,"""Nunca te arrepientas de algo que te hizo feliz""",SoloReflexiones,TweetDeck,1625,753
158,No critiques lo que no te tocó vivir ni sentir.,SoloReflexiones,TweetDeck,1624,3196
159,"""Ella decía que tenía miedo de enamorarse, pero de lo que tenía miedo era de que le hicieran daño"".",SoloReflexiones,TweetDeck,1621,910
160,"""Me gustaría saber lo que realmente sientes por mi.""",SoloReflexiones,Hootsuite,1617,844
161,Me encanta cuando estoy feliz sin ninguna razón.,SoloReflexiones,Twitter for Android,1616,1110
162,"""Hay momentos en los que ni tú sabes cómo te sientes.""",SoloReflexiones,TweetDeck,1613,643
163,"Fácil no es, imposible tampoco.",SoloReflexiones,TweetDeck,1609,729
164,"Quédate toda la vida con esa persona que en los momentos difíciles te susurre al oído: ""No me arrepiento de estar contigo"".",SoloReflexiones,TweetDeck,1607,1468
165,"""Nunca te arrepientas de algo que valió la pena.""",SoloReflexiones,Hootsuite,1602,742
166,"“La vida no te enseña a ser fuerte, te obliga a serlo.”",SoloReflexiones,Hootsuite,1600,1023
167,No espero nada de nadie pero a la vez quiero que alguien me sorprenda.,SoloReflexiones,TweetDeck,1596,3116
168,"Sin locura, no existe la felicidad.",SoloReflexiones,TweetDeck,1595,818
169,"Nunca basta sólo con pedir disculpas, tienes que cambiar.",SoloReflexiones,TweetDeck,1594,3430
170,"""Hay fechas que jamás se olvidan.""",SoloReflexiones,TweetDeck,1589,707
171,“Arriésgate por todo aquello que te haga feliz.”,SoloReflexiones,Hootsuite,1586,918
172,No me arrepiento de las cosas que he hecho. Me arrepiento de las cosas que no hice cuando tuve la oportunidad.,SoloReflexiones,TweetDeck,1585,650
173,"""Nada mejor que tener a alguien que te haga olvidar todos los problemas.""",SoloReflexiones,TweetDeck,1583,676
174,"""Te valora más una persona que no te puede tener, a una persona que ya te tiene.""",SoloReflexiones,Twitter for Android,1580,3429
175,Normalicen ser directos y decir las cosas como son.,SoloReflexiones,TweetDeck,1579,3734
176,"Ojalá que estos últimos días del año te muestren una mejor cara, que algo lindo te suceda. Que los motivos de risa sean suficientes para dejar de lado las penas. Que los malos momentos se conviertan en enseñanzas. Que seas un poco más feliz, que vivas en calma.",SoloReflexiones,TweetDeck,1578,3267
177,"Con ganas de escucharte.
Con ganas de verte.
Con ganas de quererte.
Con ganas de tomarte de la mano.
Con ganas de ti.",SoloReflexiones,TweetDeck,1575,1266
178,"""Aprendí que el mejor regalo que alguien te puede hacer es dedicarte su tiempo, escucharte, preocuparse por ti y que te ayude a no rendirte""",SoloReflexiones,Twitter for Android,1568,2855
179,"—Tengo miedo. 
—¿De qué? 
—De que te canses de mí. 
—¿Tú te cansas de respirar? 
—No. 
—Pues es lo mismo.",SoloReflexiones,TweetDeck,1567,818
180,"Me enseñaron a pedir perdón, decir gracias y a no lastimar a nadie.
Parecía algo normal, pero me di cuenta que son valores que muy pocos tienen.",SoloReflexiones,TweetDeck,1567,3014
181,"A veces no estoy bien, pero sonrío.",SoloReflexiones,Twitter for Android,1564,1055
182,https://t.co/nmSNsv9gbO,SoloReflexiones,TweetDeck,1564,3491
183,"Mi mamá me dijo una vez: ""Cada vez que lo perdones, él te querrá un poco más; pero tú lo dejas de querer. Así que el día que él más te ame, tú ya no sentirás nada por él”",SoloReflexiones,Twitter for Android,1561,3996
184,Soy muy fan de las personas que siempre saludan con una sonrisa.,SoloReflexiones,TweetDeck,1559,6548
185,"""Mirar al cielo y sonreír porque alguien te cuida.""",SoloReflexiones,TweetDeck,1559,673
186,"Prohibido rendirse, respira hondo y sigue.",SoloReflexiones,TweetDeck,1556,839
187,No sé si hago lo correcto o lo incorrecto sólo sé que hago todo lo posible por ser feliz.,SoloReflexiones,TweetDeck,1550,3018
188,"Que estos últimos 5 días del 2020, te suceda algo muy lindo que te haga sentir que este año valió la pena.",SoloReflexiones,TweetDeck,1544,4781
